M1_sees_M2_Angle,M1_sees_M2
149.31568533480228,1
155.75311727568436,1
174.45316271024078,1
166.3671628589948,1
155.7936548951125,1
154.9488078063051,1
154.39180271118425,1
156.06431641380857,1
158.3663874530615,1
161.43550510621643,1
165.51443341772517,1
175.76501191906985,1
171.78347027722086,1
156.9985237211914,1
145.24190599081132,1
132.9583635568676,0
127.04266941860736,0
125.82782634076482,0
120.82136796252136,0
106.96271708850769,0
94.73782906393123,0
85.92057693401841,0
81.09097784063631,0
75.77806186514721,0
73.74522265357025,0
67.75830125211701,0
62.718413497890886,0
57.611251872019615,0
53.10887415092619,0
50.615380366472934,0
47.919040562253045,0
47.19548822778579,0
45.673685407736365,0
47.36841695773127,0
49.97435740970683,0
52.51078560960688,0
55.16604422114854,0
54.81136350384764,0
54.992610663163795,0
54.71574805153613,0
54.43569040133111,0
48.731853786160784,0
43.947920583393746,0
44.56567272521098,0
45.78449151616973,0
45.62790231641792,0
44.55533016502766,0
44.15398784380026,0
38.478245249808005,0
33.82238780405035,0
29.61518336005161,0
28.918828306938753,0
27.97527704462105,0
30.60580173542771,0
33.884177197155886,0
35.500319803071264,0
36.335610559836695,0
35.96197546135586,0
37.00427724848428,0
43.1048532093837,0
50.846623944061875,0
60.406449477563264,0
71.87761515215571,0
88.03645920769397,0
97.5451374438687,0
105.25163947078053,0
110.94939025070767,0
115.65231377061697,0
123.70708725129577,0
133.0758230870196,0
140.94608884078383,1
145.28615891334945,1
153.33232700351846,1
161.786337284748,1
168.62002139608182,1
170.68226397011406,1
170.1883842099338,1
167.21598389741018,1
167.49416742374547,1
169.31877428638117,1
172.0114563841277,1
172.59061619751986,1
174.33856437427414,1
176.17163901048335,1
178.23605295246952,1
179.45969116505486,1
179.86994478321873,1
177.51711994585858,1
175.402706971882,1
171.48078912876548,1
167.91640306061367,1
163.91971470635406,1
162.68625526943202,1
161.96995673822605,1
161.11293629178437,1
160.67698523453382,1
159.4294984996864,1
159.35501260097985,1
162.28529685149508,1
170.13390319779066,1
176.4340427081479,1
176.45046603575108,1
172.6671803244237,1
168.9819206667542,1
164.71691925188665,1
159.97397875523095,1
156.0945274528295,1
157.17885421983982,1
160.36018965934565,1
164.668457679795,1
167.59934595371683,1
170.51589307375284,1
174.34053839749174,1
179.81810738848958,1
172.31902019887505,1
164.5480030969482,1
160.93365986360328,1
160.64372791360097,1
161.72345110808683,1
162.11150747065648,1
163.15428800136124,1
162.23835994211393,1
160.31952256624297,1
157.73696682724218,1
155.99105940288493,1
155.02393097586608,1
154.54880759803277,1
154.78224879141092,1
154.0614397908292,1
154.58226272741592,1
155.8187794688612,1
158.24272277361788,1
156.1576750679907,1
158.39292186548386,1
164.33842270277148,1
173.18806994177032,1
178.6522851512991,1
177.04250734806675,1
170.07130632091713,1
164.02785321955182,1
158.35335021046382,1
160.21943390651901,1
159.019713429986,1
153.88729123177663,1
144.68117574962338,1
139.98726587260452,1
139.835359848131,1
141.41761215586718,1
140.68579416128443,1
137.92061833167895,1
135.74888203737785,1
134.63015616051464,0
133.26263940529026,0
129.01326126425616,0
125.20261654056655,0
124.3001388270362,0
126.86160937133035,0
129.1439529469485,0
130.68439094154354,0
135.39464166272975,1
140.85878544489339,1
142.33405285175434,1
140.25042971305373,1
141.91448834896525,1
145.12123818384893,1
147.78987808768687,1
149.6029515985803,1
151.05127854918118,1
152.1699079508959,1
152.7934744116603,1
154.23534652155158,1
155.96503870015613,1
