M1_sees_M2_Angle,M1_sees_M2
65.40615170565701,0
68.31173463044742,0
74.61247114206289,0
81.55601177993644,0
107.61810219027343,0
87.85137063015328,0
79.28743928688858,0
91.60482176779223,0
92.78681398112516,0
96.49309053303985,0
91.78185011354249,0
95.74254697646018,0
91.5036000855752,0
91.98707723698173,0
97.54914289564327,0
88.1699558015994,0
87.0558040327768,0
82.82732506379169,0
79.73820797042599,0
57.98223988719449,0
52.95186162632754,0
38.62660981299671,0
4.654964953604785,0
3.296424995620049,0
12.656516079130911,0
10.739174283251662,0
14.990768357175192,0
3.9081326208909317,0
5.226703856361907,0
8.364017782819857,0
5.269623508909949,0
8.238335407286009,0
2.489924111434217,0
10.941001467543618,0
6.978167944424856,0
8.343462524142053,0
7.359471086865949,0
7.117217268522668,0
9.888089481009004,0
6.694035991838725,0
7.508650099990022,0
8.845234375390879,0
13.567273069464719,0
11.135300878550135,0
8.2806052683115,0
26.173165133827208,0
25.207793747387544,0
25.29708619518201,0
23.345280834834803,0
18.934502972260823,0
15.23615951978212,0
14.87223685252615,0
17.726343353583253,0
23.703543086563933,0
12.250448031691812,0
27.091147797613168,0
19.059695345894895,0
13.157926268706268,0
14.144960308273994,0
18.79436381448997,0
17.8115360085465,0
29.781983810897273,0
32.48687024995827,0
32.26161964145349,0
29.651819502433895,0
17.302503992335236,0
16.32086782395837,0
16.273680515761043,0
15.320352367891187,0
17.60329824100297,0
20.881481433782223,0
24.786140799327335,0
23.28610851136156,0
15.574277388368778,0
16.244350878911384,0
19.066875059572858,0
23.71532996619986,0
19.600599350765883,0
34.06197677795164,0
22.83271234860212,0
19.683864473544965,0
24.64755303148052,0
26.098862631796752,0
39.17116939533966,0
44.109927384311916,0
44.755355650428356,0
59.735211232683916,0
60.03820949155619,0
60.363093364225385,0
60.350067125041825,2
60.34513596998675,2
60.626250481328604,2
60.34946599642231,2
60.26601164203057,2
59.71482419778314,2
59.020505851853095,2
20.934821739574808,2
20.278979525893302,2
53.81019363298469,2
24.571335753145636,0
32.01927924499361,0
